"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E4_420","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",86.9,31.6535797284645,45.0903106848367,10.1561095866987
"E4_422","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.35,33.2745052726724,47.3993081825067,10.6761865448208
"E4_423","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",104.5,37.1632283767154,55.2941688756473,12.0426027476373
"E4_425","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",107.5,39.1571901128877,55.7791530336012,12.5636568535111
"E4_426","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.35,31.0889876849764,44.2860531294685,9.97495918555508
"E4_427","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",87.55,31.8903441337983,45.4275799822492,10.2320758839525
"E4_428","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86,31.3257520903101,44.623322426881,10.0509254828089
"E4_429","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.95,30.214780649898,43.0407511082532,9.69446824184879
"E40_CT","560003",19,"E40",1987,"0-30",21.9,5.01896369762692,14.1626423928136,2.71839390955948
"E40_NT","560003",19,"E40",1987,"0-30",22.1,10.4845875878187,9.74495459236979,1.87045781981148
"E41_CT_CR19","754010",4,"E41",1989,"0-15",59.15,20.2401077738142,33.0852985367634,5.82459368942235
"E41_CT_CR20","754010",4,"E41",1989,"0-15",59.15,19.9086429608777,33.4656717521494,5.77568528697282
"E41_CT_CR21","754010",4,"E41",1989,"0-15",59.15,20.2401077738142,33.0852985367634,5.82459368942235
"E41_NT_CR19","754010",4,"E41",1989,"0-15",63.05,35.022535371897,23.8319096094876,4.19555501861537
"E41_NT_CR20","754010",4,"E41",1989,"0-15",63.05,34.6328825219323,24.2345830373595,4.18253444070814
"E41_NT_CR21","754010",4,"E41",1989,"0-15",63.05,35.022535371897,23.8319096094876,4.19555501861537
"E42_CT","823006",12,"E42",2011,"0-15",19,5.3526885122746,10.9750417224613,2.67226976526411
"E42_NT","823006",12,"E42",2011,"0-15",25.8,14.0233003166285,9.47071300410691,2.30598667926456
"E43_CT","793011",47,"E43",2014,"0-15",90.65,25.5088316013893,53.1660785808411,11.9750898177697
"E43_NT","793011",47,"E43",2014,"0-15",92.35,50.1594083759403,34.4345728638293,7.75601876023044
"E44_CT","702009",5,"E44",2004,"0-15",77.45,25.2894341140789,40.2791008300522,11.8814650558689
"E44_NT","702009",5,"E44",2004,"0-15",86.35,51.4183283649727,26.9747135609453,7.95695807408194
"E45_CT","705006",5,"E45",2004,"0-15",80.2,26.0768339584251,45.0045235601013,9.11864248147367
"E45_NT","705006",5,"E45",2004,"0-15",84.6,50.2483139230502,28.5641321165827,5.78755396036708
"E46_CT","692009",19,"E46",1998,"0-15",84.45,26.4146682595429,48.2575696444917,9.77776209596532
"E46_NT","692009",19,"E46",1998,"0-15",88.35,51.2566646513263,30.8438697643776,6.24946558429607
"E47_CT","692009",27,"E47",2006,"0-15",84.6,26.4615859651549,48.3432846882653,9.79512934657983
"E47_NT","692009",27,"E47",2006,"0-15",88.2,51.1696414515788,30.7915032622309,6.23885528619031
"E48_CT","727006",19,"E48",1998,"0-15",130.9,44.2153099852979,73.5588646888616,13.1258253258405
"E48_NT","727006",19,"E48",1998,"0-15",132.9,74.3739260118574,49.66403590454,8.86203808360262
"E49_CT","727006",27,"E49",2006,"0-15",131.4,44.3841996338284,73.8398381979863,13.1759621681852
"E49_NT","727006",27,"E49",2006,"0-15",132.4,74.0941144015795,49.4771885158848,8.82869708253565
"E5_Field 1.1_RT_N0P0_CR1","828001",108,"E5",1922,"c(""0-15"", ""15-30"")",66.73425,24.2918984370211,34.5725377094682,7.86981385351071
